code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,at_risk,total_clicks_30d,active_days_30d,unique_sites_30d,avg_clicks_per_active_day,assessment_count_30d,avg_score_30d
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,0,326.0,9.0,26.0,36.22222222222222,1.0,78.0
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,0,403.0,12.0,25.0,33.583333333333336,1.0,70.0
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,1,179.0,6.0,17.0,29.833333333333332,0.0,0.0
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0,371.0,19.0,23.0,19.526315789473685,1.0,72.0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,0,272.0,16.0,18.0,17.0,1.0,69.0
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,0,453.0,24.0,21.0,18.875,1.0,79.0
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,0,411.0,12.0,21.0,34.25,1.0,70.0
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,402.0,17.0,24.0,23.647058823529413,1.0,72.0
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,0,367.0,18.0,26.0,20.38888888888889,1.0,72.0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,?,55<=,0,60,N,Pass,0,399.0,16.0,20.0,24.9375,1.0,71.0
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,0,393.0,21.0,24.0,18.714285714285715,1.0,68.0
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,357.0,17.0,22.0,21.0,1.0,73.0
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,0,422.0,12.0,24.0,35.166666666666664,1.0,67.0
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,0,424.0,14.0,24.0,30.285714285714285,1.0,73.0
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,0,519.0,23.0,21.0,22.565217391304348,1.0,83.0
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,1,91.0,5.0,13.0,18.2,1.0,66.0
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,0,311.0,12.0,23.0,25.916666666666668,1.0,59.0
AAA,2013J,71361,M,Ireland,HE Qualification,?,35-55,0,60,N,Pass,0,891.0,24.0,30.0,37.125,1.0,82.0
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,Oct-20,35-55,0,150,N,Fail,1,28.0,4.0,8.0,7.0,1.0,60.0
