code_module,code_presentation,id_student,final_result,at_risk,prediction,risk_probability,error_type,engagement_group,num_of_prev_attempts,studied_credits,total_clicks_30d,active_days_30d,unique_sites_30d,avg_clicks_per_active_day,assessment_count_30d,avg_score_30d,age_band,highest_education,disability
AAA,2013J,155984,Withdrawn,1,0,0.19201572130764538,False Negative,Medium,0,60,278.0,10.0,22.0,27.8,1.0,85.0,0-35,Lower Than A Level,N
AAA,2013J,603861,Withdrawn,1,0,0.2689112952678057,False Negative,Medium,0,60,236.0,17.0,18.0,13.882352941176471,1.0,61.0,55<=,HE Qualification,N
AAA,2013J,185439,Fail,1,0,0.29679484168045117,False Negative,Low,0,120,200.0,8.0,21.0,25.0,1.0,74.0,0-35,HE Qualification,N
AAA,2013J,311917,Pass,0,1,0.3084396056655434,False Positive,High,0,120,422.0,17.0,26.0,24.823529411764707,1.0,55.0,55<=,A Level or Equivalent,N
AAA,2013J,2698257,Pass,0,1,0.30885218090416117,False Positive,Medium,0,120,267.0,14.0,23.0,19.071428571428573,1.0,58.0,0-35,Lower Than A Level,N
AAA,2013J,580389,Pass,0,1,0.3162031126192715,False Positive,High,0,120,508.0,12.0,25.0,42.333333333333336,1.0,75.0,0-35,HE Qualification,N
AAA,2013J,175932,Pass,0,1,0.3170529693572588,False Positive,High,0,60,422.0,19.0,21.0,22.210526315789473,1.0,76.0,35-55,HE Qualification,N
AAA,2013J,2574528,Pass,0,1,0.330205007702269,False Positive,Medium,0,60,214.0,13.0,22.0,16.46153846153846,1.0,63.0,35-55,HE Qualification,N
AAA,2013J,2688067,Pass,0,1,0.33185481694270386,False Positive,Low,0,60,42.0,4.0,9.0,10.5,1.0,70.0,0-35,A Level or Equivalent,N
AAA,2013J,101781,Pass,0,1,0.333471980148228,False Positive,High,0,60,1129.0,19.0,32.0,59.421052631578945,1.0,84.0,35-55,Lower Than A Level,N
AAA,2013J,2613116,Pass,0,1,0.3362638803720934,False Positive,Low,0,60,191.0,11.0,19.0,17.363636363636363,1.0,68.0,35-55,Lower Than A Level,N
AAA,2013J,184271,Pass,0,1,0.3620745233192772,False Positive,Medium,0,170,295.0,20.0,23.0,14.75,1.0,65.0,35-55,HE Qualification,N
AAA,2013J,2599352,Pass,0,1,0.37210130664809016,False Positive,Medium,0,120,259.0,8.0,25.0,32.375,1.0,80.0,0-35,A Level or Equivalent,N
AAA,2013J,172112,Pass,0,1,0.3787875648478942,False Positive,Medium,0,60,242.0,14.0,22.0,17.285714285714285,1.0,60.0,35-55,HE Qualification,N
AAA,2013J,2293923,Pass,0,1,0.44875354036440374,False Positive,Low,0,150,58.0,6.0,10.0,9.666666666666666,1.0,72.0,0-35,A Level or Equivalent,N
AAA,2013J,312537,Distinction,0,1,0.4698381887258828,False Positive,High,0,60,3246.0,31.0,30.0,104.70967741935483,1.0,88.0,55<=,Post Graduate Qualification,N
AAA,2013J,281022,Pass,0,1,0.5177639938782886,False Positive,Low,0,150,120.0,10.0,13.0,12.0,1.0,70.0,0-35,A Level or Equivalent,N
AAA,2013J,2562034,Pass,0,1,0.5188613171124324,False Positive,Low,0,60,95.0,3.0,10.0,31.666666666666668,1.0,70.0,0-35,A Level or Equivalent,N
AAA,2013J,2182846,Pass,0,1,0.5233213147238527,False Positive,High,0,60,787.0,24.0,23.0,32.791666666666664,1.0,65.0,35-55,A Level or Equivalent,N
AAA,2013J,282821,Pass,0,1,0.5565559223858987,False Positive,High,0,60,654.0,15.0,24.0,43.6,1.0,61.0,35-55,A Level or Equivalent,N
AAA,2013J,100893,Pass,0,1,0.5795581467632891,False Positive,Low,0,60,107.0,12.0,17.0,8.916666666666666,1.0,63.0,0-35,A Level or Equivalent,N
AAA,2013J,286488,Pass,0,1,0.5855553133620062,False Positive,Low,0,60,87.0,8.0,13.0,10.875,1.0,55.0,35-55,A Level or Equivalent,N
AAA,2013J,70464,Pass,0,1,0.6326070286393144,False Positive,Medium,0,60,311.0,12.0,23.0,25.916666666666668,1.0,59.0,35-55,A Level or Equivalent,N
AAA,2013J,2574583,Pass,0,1,0.6721834478213018,False Positive,High,0,60,431.0,21.0,25.0,20.523809523809526,1.0,66.0,35-55,Lower Than A Level,N
AAA,2013J,2369266,Pass,0,1,0.7007768675027862,False Positive,High,0,60,685.0,17.0,29.0,40.294117647058826,1.0,50.0,35-55,Lower Than A Level,N
AAA,2013J,1889511,Pass,0,1,0.713284112100614,False Positive,Medium,0,60,366.0,13.0,20.0,28.153846153846153,1.0,72.0,35-55,A Level or Equivalent,N
AAA,2013J,167906,Pass,0,1,0.7380182442590283,False Positive,Medium,0,60,290.0,13.0,21.0,22.307692307692307,1.0,60.0,35-55,A Level or Equivalent,N
AAA,2013J,342972,Pass,0,1,0.7593010403647176,False Positive,Low,0,60,178.0,12.0,19.0,14.833333333333334,1.0,62.0,0-35,HE Qualification,N
AAA,2013J,441018,Pass,0,1,0.7759055241501689,False Positive,Low,0,150,128.0,9.0,11.0,14.222222222222221,1.0,54.0,0-35,A Level or Equivalent,N
AAA,2013J,368963,Pass,0,1,0.8296123761560881,False Positive,Medium,0,180,293.0,12.0,27.0,24.416666666666668,1.0,58.0,0-35,Lower Than A Level,N
AAA,2013J,1860318,Pass,0,1,0.8572288918092461,False Positive,High,0,300,452.0,17.0,22.0,26.58823529411765,1.0,57.0,35-55,Lower Than A Level,Y
AAA,2013J,368194,Pass,0,1,0.8832579952085173,False Positive,Low,0,120,37.0,2.0,10.0,18.5,1.0,54.0,0-35,A Level or Equivalent,Y
AAA,2013J,186149,Pass,0,1,0.9562576337464024,False Positive,High,0,60,402.0,17.0,20.0,23.647058823529413,0.0,0.0,35-55,HE Qualification,N
