model,threshold,accuracy,precision_at_risk,recall_at_risk,f1_at_risk,pr_auc,roc_auc,brier_score,tn,fp,fn,tp,total_cost
dummy_majority,0.5,0.7272727272727273,0.0,0.0,0.0,0.2727272727272727,0.5,0.2727272727272727,56,0,21,0,105
dummy_majority,0.3,0.7272727272727273,0.0,0.0,0.0,0.2727272727272727,0.5,0.2727272727272727,56,0,21,0,105
logistic_standard,0.5,0.7662337662337663,0.6,0.42857142857142855,0.5,0.5866002174806959,0.7491496598639455,0.1707236779648848,50,6,12,9,66
logistic_standard,0.3,0.6363636363636364,0.37037037037037035,0.47619047619047616,0.4166666666666667,0.5866002174806959,0.7491496598639455,0.1707236779648848,39,17,11,10,72
logistic_balanced,0.5,0.6493506493506493,0.39285714285714285,0.5238095238095238,0.4489795918367347,0.5963130863605799,0.7644557823129252,0.20229023741436777,39,17,10,11,67
logistic_balanced,0.3,0.5714285714285714,0.375,0.8571428571428571,0.5217391304347826,0.5963130863605799,0.7644557823129252,0.20229023741436777,26,30,3,18,45
lightgbm_standard,0.5,0.8051948051948052,0.7142857142857143,0.47619047619047616,0.5714285714285714,0.6441000560460304,0.7032312925170068,0.16029571160430892,52,4,11,10,59
lightgbm_standard,0.3,0.7142857142857143,0.4782608695652174,0.5238095238095238,0.5,0.6441000560460304,0.7032312925170068,0.16029571160430892,44,12,10,11,62
lightgbm_balanced,0.5,0.6753246753246753,0.4230769230769231,0.5238095238095238,0.46808510638297873,0.653543149805832,0.7244897959183673,0.19560682523562373,41,15,10,11,65
lightgbm_balanced,0.3,0.5844155844155844,0.37777777777777777,0.8095238095238095,0.5151515151515151,0.653543149805832,0.7244897959183673,0.19560682523562373,28,28,4,17,48
